SLUG	DATE	SRC	URL	JOB	BYTES	TIMESTAMP
City-Council	2024-04-02	https://medford.vod.castus.tv/api/v1/api/assets/download/e/5/9/3/7/b/e5937b5c-39df-4170-908a-b8c3f7269341+17121787181712168951575720.vod.720p.City%20Council%2004-02-24.mp4	https://archive.org/download/medford_City-Council_2024-04-02/audiofile.m4a	DONE-498f27d4-2f96-4be8-a6ca-802561c39e9b	365184532	2024-04-02 23:00:00
City-Council-Planning-and-Permitting	2024-03-27	https://medford.vod.castus.tv/api/v1/api/assets/download/3/e/1/4/e/0/3e14e0fa-5597-431f-a245-dc3114ab4d72+17116469901711645891303814.vod.720p.City%20Council%20Planning%20And%20Permitting%20Committee%2003-27-24.mp4	https://archive.org/download/medford_City-Council-Planning-and-Permitting_2024-03-27/audiofile.m4a	DONE-21be8d5e-1b0f-4801-b01f-35a88d9c8862	44098501	2024-03-27 20:00:00
City-Council-Governance	2024-03-26	https://medford.vod.castus.tv/api/v1/api/assets/download/a/9/f/5/1/9/a9f51953-6dad-44aa-8f58-6a9a346269ed+17115646721711561558019648.vod.720p.City%20Council%20Governance%20Committee%2003-26-24.mp4	https://archive.org/download/medford_City-Council-Governance_2024-03-26/audiofile.m4a	DONE-d95a835f-c575-49de-ac2f-39bb9b3cc272	90807263	2024-03-26 20:00:00
City-Council-Administration-and-Finance	2024-03-26	https://medford.vod.castus.tv/api/v1/api/assets/download/6/9/5/0/b/5/6950b5fc-e636-419b-91e1-d103b731adfe+17115623801711559839904911.vod.720p.City%20Council%20Administration%20And%20Finance%20Committee%2003-26-24.mp4	https://archive.org/download/medford_City-Council-Administration-and-Finance_2024-03-26/audiofile.m4a	DONE-ba2c150d-1716-40ea-bb52-969fd77b0072	26704186	2024-03-26 20:30:00
GLX-Zone-Parking-Community-Meeting	2024-03-16	https://medford.vod.castus.tv/api/v1/api/assets/download/e/a/2/4/e/6/ea24e6ff-f3d3-4f97-9166-fac9c2cff39d+17110568971711055940035384.vod.720p.Green%20Line%20Zone%20Parking%20Community%20Meeting_1.mp4	https://archive.org/download/medford_City-Council-Planning-and-Permitting_2024-03-27/audiofile.m4a	DONE-cbe8caba-1083-43c5-b807-bec18b49aa81	44098501	2024-03-16 20:00:00
City-Council-Public-Health-and-Community-Safety	2024-04-09	https://medford.vod.castus.tv/api/v1/api/assets/download/9/5/0/5/1/2/950512ae-3a16-46cf-9067-92853ac3c2c0+17127701541712767797424442.vod.720p.City%20Council%20Public%20Health%20And%20Community%20Safety%20Committee%2004-09-24.mp4	https://archive.org/download/medford_City-Council-Public-Health-and-Community-Safety_2024-04-09/audiofile.m4a	DONE-e31970c2-a0a5-4d77-8354-dc516d7b59b7	89602135	2024-04-10 17:04:01
City-Council-Zoning	2024-04-10	https://medford.vod.castus.tv/api/v1/api/assets/download/c/9/c/8/d/7/c9c8d719-4669-4684-99b9-d7d6e0e5ba27+17128562431712854513932425.vod.720p.City%20Council%20Planning%20And%20Permitting%20Committee%2004-10-24.mp4	https://archive.org/download/medford_City-Council-Zoning_2024-04-10/audiofile.m4a	DONE-815a0dcb-7e12-4960-a505-7e328f2c3e3a	66425811	2024-04-11 21:10:49
Zoning-Board-of-Appeals	2021-04-11	https://medford.vod.castus.tv/api/v1/api/assets/download/d/c/8/c/5/f/dc8c5fce-9631-4774-af5e-c07ac073c33d+17129425711712938188015372.vod.720p.Zoning%20Board%20Of%20Appeals%2004-11-24.mp4	https://archive.org/download/medford_Zoning-Board-of-Appeals_2021-04-11/audiofile.m4a	DONE-00efc94b-14ec-4ae9-89b5-8bd177a69089	169625035	2024-04-17 17:44:03
City-Council-Meeting	2024-04-16	https://medford.vod.castus.tv/api/v1/api/assets/download/4/3/5/5/6/3/43556383-2025-40e4-8e5d-4514093024c5+17133817521713376828871914.vod.720p.City%20Council%2004-16-24.mp4	https://archive.org/download/medford_City-Council-Meeting_2024-04-16/audiofile.m4a	DONE-0bd625b0-0e75-4101-8a34-41d7998032c0	185827022	2024-04-18 18:01:13
City-Council-COW-Budget	2024-04-17	https://medford.vod.castus.tv/api/v1/api/assets/download/1/5/e/1/f/1/15e1f121-7159-4fc3-aced-9d5ad40a7149+17134611711713458829942078.vod.720p.City%20Council%20Committee%20Of%20The%20Whole%2004-17-24.mp4	https://archive.org/download/medford_City-Council-COW-Budget_2024-04-17/audiofile.m4a	DONE-a86d3292-2f24-414a-96c7-a5d634750e8d	88543162	2024-04-19 16:40:02
Community-Development	2024-04-17	https://medford.vod.castus.tv/api/v1/api/assets/download/c/b/7/7/1/e/cb771ee1-7a2b-466a-a008-918572d97bad+17134630181713459406913437.vod.720p.Community%20Development%20Board%2004-17-24.mp4	https://archive.org/download/medford_Community-Development_2024-04-17/audiofile.m4a	DONE-6eed6817-57b1-40a8-b35d-602458ecee8d	73516105	2024-04-19 16:41:44
City-Council-COW-Budget	2024-04-23	https://medford.vod.castus.tv/api/v1/api/assets/download/4/0/c/d/a/3/40cda3ba-523f-4590-971f-d9703c92877c+17139810971713978462223059.vod.720p.City%20Council%20Committee%20Of%20The%20Whole%2004-23-24.mp4	https://archive.org/download/medford_City-Council-COW-Budget_2024-04-23/audiofile.m4a	DONE-0a8bd92f-7882-4ea0-b51a-5c9b5deb15d5	99851951	2024-04-25 18:05:27
City-Council-Resident-Services-and-Public-Engagement	2024-04-23	https://medford.vod.castus.tv/api/v1/api/assets/download/4/7/2/b/4/7/472b4791-0bb4-4e51-897d-be3c525e41d7+17139822471713978468712461.vod.720p.City%20Council%20Resident%20Services%20And%20Public%20Engagement%20Committee%2004-23-24.mp4	https://archive.org/download/medford_City-Council-Resident-Services-and-Public-Engagement_2024-04-23/audiofile.m4a	DONE-c3814be0-5e0a-49f5-9a84-9be0bc881dc3	47219098	2024-04-25 18:08:09
Zoning-Board-of-Appeals	2024-04-23	https://medford.vod.castus.tv/api/v1/api/assets/download/1/2/8/8/5/a/12885a81-9e03-49a4-8419-74f889af46d3+17139846141713978736280255.vod.720p.Zoning%20Board%20Of%20Appeals%2004-23-24.mp4	https://archive.org/download/medford_Zoning-Board-of-Appeals_2024-04-23/audiofile.m4a	DONE-52601005-6743-4e71-b2dc-60d55c612321	92218207	2024-04-25 18:10:43
